Unnamed: 0,Unnamed: 0.1,article_id,author,content,date,division,highlight,is_new,last_date,lead,media_desc,media_src,media_type,title,url
,,24848768,Rafał Maszewski  klimatolog,,2019-01-06 06:00:00,,,True,,"Pogoda w weekend 1 i 2 czerwca 2019 r. W sobotę będzie ciepło i słonecznie, choć w centrum, na południu i wschodzie może chwilami popadać deszcz. W niedzielę na zachodzie zrobi się już nawet upalnie - ok. 29 stopni. W pozostałych regionach będzie...",,,,Pogoda w weekend 1 i 2 czerwca 2019 r. Będą upały,"http://wyborcza.pl/TylkoZdrowie/7,157387,24848768,pogoda-w-weekend-1-i-2-czerwca-2019-r.html"
,,24835078,Adriana Rozwadowska,,2019-01-06 05:44:00,,,True,,"Pracownicy mieli wskazywać ludziki na zdjęciach dla Google'a. Nie wiedzieli, że ich praca służy szkoleniu dronów strzelających do ludzi na Bliskim Wschodzie. Cyfrowi giganci uwłaszczają się na kolektywnym intelekcie ludzkości - mówi ekonomista Jan...",,,,Spółki cyfrowe żerują na naszej pracy i nie dają wiele w zamian. Jak powstrzymać Facebooka i Google'a?,"http://wyborcza.pl/7,155287,24835078,spolki-cyfrowe-zeruja-na-naszej-pracy-i-nie-daja-wiele-w-zamian.html"
,,24845678,Michał Kokot  Kijów,,2019-01-06 05:02:00,,,True,,Zaprzysiężony przed niespełna dwoma tygodniami nowy prezydent Wołodymyr Zełenski wciąż pozostaje zagadką. Czy satyryk bez doświadczenia politycznego będzie umiał - i chciał - rozprawić się z osłabiającą kraj oligarchią?,,,,Czy Zełenski naprawi Ukrainę? Na reformy czeka Unia Europejska,"http://wyborcza.pl/7,75399,24845678,czy-zelenski-naprawi-ukraine-unia-europejska-czeka-na-reformy.html"
